iter	Passed	Remaining
331	579	1165
332	580	1162
333	581	1160
334	583	1157
335	584	1154
336	585	1152
337	586	1149
338	588	1146
339	589	1144
340	591	1142
341	592	1139
342	593	1137
343	594	1134
344	596	1132
345	597	1129
346	598	1127
347	600	1124
348	601	1121
349	602	1119
350	604	1117
351	605	1114
352	607	1112
353	608	1109
354	609	1107
355	610	1104
356	611	1102
357	613	1099
358	614	1097
359	615	1094
360	616	1091
361	618	1089
362	619	1087
363	621	1085
364	622	1082
365	623	1080
366	624	1077
367	626	1075
368	627	1072
369	628	1070
370	629	1067
371	630	1065
372	632	1062
373	633	1060
374	634	1058
375	636	1055
376	637	1053
377	638	1051
378	639	1048
379	641	1046
380	642	1043
381	643	1041
382	644	1038
383	646	1036
384	647	1034
385	649	1032
386	650	1030
387	651	1027
388	652	1025
389	654	1022
390	655	1020
391	656	1018
392	657	1016
393	659	1013
394	660	1011
395	661	1008
396	662	1006
397	664	1004
398	665	1002
399	666	999
400	667	997
401	669	995
402	670	992
403	671	990
404	672	988
405	674	986
406	675	983
407	676	981
408	677	979
409	679	977
410	680	975
411	681	972
412	682	970
413	684	968
414	685	965
415	686	963
416	687	961
417	688	958
418	690	956
419	691	954
420	692	952
421	693	950
422	695	948
423	696	946
424	697	944
425	699	941
426	700	939
427	701	937
428	702	935
429	703	933
430	705	930
431	706	928
432	707	926
433	709	924
434	710	923
435	711	920
436	713	918
437	714	916
438	715	914
439	716	912
440	718	910
441	719	908
442	720	905
443	721	903
444	722	901
445	724	899
446	725	897
447	726	895
448	728	893
449	729	891
450	730	889
451	731	887
452	733	885
453	734	883
454	735	881
455	737	879
456	738	877
457	739	875
458	741	873
459	742	871
460	743	869
461	744	867
462	745	865
463	747	862
